id_envio,fecha_despacho,ciudad_origen,ciudad_destino,transportista,tipo_carga,peso_kg,distancia_km,costo_envio_cop,tiempo_entrega_dias,tiempo_estimado_dias,estado,calificacion_cliente,incidentes,mes,retraso_dias
ENV-1000,2024-11-23,Barranquilla,Pasto,LogiCol Ltda.,Seca,1307.15,394,777000.0,11,10,Retrasado,2.3,0,November,1
ENV-1001,2024-02-27,Cartagena,Villavicencio,TransCargo S.A.,General,2271.67,956,1568000.0,8,7,Entregado,3.4,2,February,1
ENV-1002,2024-01-13,Cali,Montería,LogiCol Ltda.,Peligrosa,171.26,1392,2287000.0,2,7,Cancelado,2.7,0,January,0
ENV-1003,2024-05-20,Cartagena,Sincelejo,LogiCol Ltda.,General,1406.02,741,417000.0,12,7,Entregado,4.9,0,May,5
ENV-1004,2024-05-05,Cartagena,Neiva,Rápido Nacional,Frágil,2061.92,356,324000.0,13,8,Retrasado,1.6,0,May,5
ENV-1005,2024-04-24,Medellín,Bucaramanga,LogiCol Ltda.,Refrigerada,3017.88,703,700000.0,9,1,Entregado,2.9,1,April,8
ENV-1006,2024-03-12,Cali,Manizales,LogiCol Ltda.,General,1362.08,595,1837000.0,5,4,En tránsito,3.7,0,March,1
ENV-1007,2024-02-22,Cali,Valledupar,Rápido Nacional,General,674.59,922,1515000.0,7,6,Entregado,2.6,1,February,1
ENV-1008,2024-12-12,Cali,Montería,LogiCol Ltda.,Refrigerada,390.24,429,327000.0,10,9,Retrasado,4.9,2,December,1
ENV-1009,2024-10-06,Cartagena,Villavicencio,LogiCol Ltda.,Frágil,4703.25,902,2303000.0,13,2,En tránsito,3.9,0,October,11
ENV-1010,2024-02-14,Barranquilla,Montería,LogiCol Ltda.,Seca,2089.03,1240,1992000.0,1,1,En tránsito,3.6,0,February,0
ENV-1011,2024-10-29,Cali,Sincelejo,TransCargo S.A.,General,2910.0,838,136000.0,10,10,Retrasado,4.0,0,October,0
ENV-1012,2024-08-04,Cartagena,Ibagué,TransCargo S.A.,Refrigerada,4596.69,978,1656000.0,5,2,Entregado,4.8,0,August,3
ENV-1013,2024-01-17,Medellín,Bucaramanga,TransCargo S.A.,Peligrosa,422.91,322,1946000.0,12,7,Entregado,4.6,0,January,5
ENV-1014,2024-01-16,Barranquilla,Bucaramanga,Rápido Nacional,Refrigerada,4384.54,622,986000.0,14,3,En tránsito,3.9,0,January,11
ENV-1015,2024-02-17,Medellín,Valledupar,CargaSegura,Peligrosa,2762.42,1143,247000.0,10,10,Cancelado,4.0,2,February,0
ENV-1016,2024-04-21,Barranquilla,Ibagué,LogiCol Ltda.,Frágil,832.52,308,267000.0,14,2,En tránsito,1.6,0,April,12
ENV-1017,2024-04-29,Cartagena,Pasto,LogiCol Ltda.,Seca,2062.16,627,332000.0,2,11,Entregado,1.4,0,April,0
ENV-1018,2024-09-15,Bogotá,Pereira,Rápido Nacional,Refrigerada,3890.24,999,2114000.0,12,7,Entregado,3.3,0,September,5
ENV-1019,2024-11-04,Barranquilla,Manizales,LogiCol Ltda.,General,2407.05,1326,2284000.0,6,2,Entregado,1.1,1,November,4
ENV-1020,2024-01-14,Medellín,Bucaramanga,TransCargo S.A.,Frágil,4926.58,85,377000.0,11,3,Cancelado,2.9,1,January,8
ENV-1021,2024-10-14,Cartagena,Neiva,CargaSegura,Refrigerada,1889.93,547,651000.0,1,11,En tránsito,1.8,2,October,0
ENV-1022,2024-04-11,Barranquilla,Bucaramanga,FlexiLog,General,3750.4,154,481000.0,3,7,Entregado,2.4,1,April,0
